rotulo,turma,execucao,job_id,attempt_number,outcome,status_job,provider,model,served_provider,prompt_version,rubric_version,code_version,temperature,seed,cache_ttl,tokens_in,tokens_out,cache_read_tokens,cache_write_tokens,cost_usd,cost_source,latency_ms,model_retries,guard_retries,guards_disparados
9A-01,9A,run-1,9acff12e-b0c0-41f0-9237-c4625e880518,1,success,done,openrouter,deepseek/deepseek-v4.1-flash,DeepInfra,1,1,4aa7bc194f60,0.0,42,5m,934,1839,768,0,0.00079885,charged,31714,0,0,
9A-01,9A,run-2,bb077120-2ea9-4a3c-9399-e235d013df0a,1,success,done,openrouter,deepseek/deepseek-v4.1-flash,DeepInfra,1,1,4aa7bc194f60,0.0,42,5m,934,2071,896,0,0.00087890,charged,44439,0,0,
9A-01,9A,run-3,03b39729-6c8e-4b6f-9cee-a99174d88270,1,success,done,openrouter,deepseek/deepseek-v4.1-flash,DeepInfra,1,1,4aa7bc194f60,0.0,42,5m,3566,2801,3456,0,0.00120634,charged,40013,1,1,citacoes
9A-01,9A,run-4,6bf99b25-2059-440d-9864-87b12478aa80,1,retry,done,openrouter,deepseek/deepseek-v4.1-flash,DeepInfra,1,1,4aa7bc194f60,0.0,42,5m,8134,4837,7936,0,0.00209259,charged,60652,2,3,citacoes
9A-01,9A,run-4,6bf99b25-2059-440d-9864-87b12478aa80,2,success,done,openrouter,deepseek/deepseek-v4.1-flash,DeepInfra,1,1,4aa7bc194f60,0.0,42,5m,934,2311,896,0,0.00097970,charged,54599,0,0,
9A-01,9A,run-5,6ac140a8-918f-4545-ae42-7ceb045e5912,1,success,done,openrouter,deepseek/deepseek-v4.1-flash,DeepInfra,1,1,4aa7bc194f60,0.0,42,5m,934,2264,896,0,0.00095996,charged,53437,0,0,
9A-02,9A,run-1,e3d2a7f6-09cf-429f-b80c-a27fd189e903,1,success,done,openrouter,deepseek/deepseek-v4.1-flash,DeepInfra,1,1,4aa7bc194f60,0.0,42,5m,7466,4608,7168,0,0.00200719,charged,68457,2,2,citacoes
9A-02,9A,run-2,9b283bd2-a387-4f5a-97f8-3739ee1cb8f9,1,success,done,openrouter,deepseek/deepseek-v4.1-flash,DeepInfra,1,1,4aa7bc194f60,0.0,42,5m,3314,3141,3072,0,0.00136600,charged,54197,1,1,citacoes
9A-02,9A,run-3,347c0a3f-a22b-435d-84fd-f2cb663a21b6,1,retry,done,openrouter,deepseek/deepseek-v4.1-flash,DeepInfra,1,1,4aa7bc194f60,0.0,42,5m,7059,9180,6784,0,0.00392259,charged,153951,2,3,citacoes
9A-02,9A,run-3,347c0a3f-a22b-435d-84fd-f2cb663a21b6,2,success,done,openrouter,deepseek/deepseek-v4.1-flash,DeepInfra,1,1,4aa7bc194f60,0.0,42,5m,848,1310,768,0,0.00056463,charged,35738,0,0,
