rotulo,turma,input_type,palavras,transcricao_completa,trechos_ilegiveis,model,served_provider,tokens_in,tokens_out,cost_usd,cost_source,latency_ms,model_retries
9A-01,9A,image,95,True,0,openrouter:deepseek/deepseek-v4.1-flash,DeepInfra,666,355,0.0021901928,charged,24020,0
9A-02,9A,image,42,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,580,415,0.002336,charged,24193,0
9A-03,9A,image,46,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,587,410,0.00233405,charged,23654,0
9A-04,9A,image,106,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,715,791,0.00253001,charged,13377,0
9A-05,9A,image,64,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,608,743,0.00248516,charged,9506,0
9A-06,9A,image,71,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,633,505,0.00232883,charged,10094,0
9A-07,9A,image,79,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,631,293,0.00221861,charged,7961,0
9A-08,9A,image,64,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,628,487,0.00233456,charged,9997,0
9A-09,9A,image,79,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,661,786,0.00257075,charged,12184,0
9A-10,9A,image,50,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,596,593,0.0024452,charged,22589,0
9A-11,9A,image,65,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,656,646,0.00243416,charged,23828,0
9A-12,9A,image,42,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,1885,2229,0.00556831,charged,26037,1
9A-13,9A,image,53,True,0,openrouter:deepseek/deepseek-v4.1-flash,DeepInfra,594,354,0.0021796928,charged,20938,0
9A-14,9A,image,92,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,674,1034,0.00266966,charged,15875,0
9A-15,9A,image,84,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,636,405,0.0023384,charged,7470,0
9A-16,9A,image,89,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,655,895,0.00258341,charged,12139,0
9A-17,9A,image,122,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,742,1233,0.00279926,charged,15589,0
9A-18,9A,image,79,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,648,473,0.002381,charged,9620,0
9A-19,9A,image,72,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,622,751,0.00249206,charged,12829,0
9A-20,9A,image,67,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,639,695,0.00246101,charged,11293,0
9A-21,9A,image,74,True,0,openrouter:deepseek/deepseek-v4.1-flash,DeepInfra,624,287,0.0021557528,charged,16789,0
9A-22,9A,image,73,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,622,494,0.00233786,charged,10991,0
9A-23,9A,image,40,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,596,586,0.00238916,charged,11694,0
9A-24,9A,image,87,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,645,595,0.00245375,charged,10043,0
9A-25,9A,image,85,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,651,532,0.00236501,charged,10518,0
9A-26,9A,image,79,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,629,510,0.00234851,charged,21323,0
9A-27,9A,image,63,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,613,797,0.00251831,charged,12955,0
9A-28,9A,image,34,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,1752,671,0.00461356,charged,11632,1
9B-01,9B,image,137,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,788,835,0.00256736,charged,10912,0
9B-02,9B,image,100,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,685,395,0.00228791,charged,7534,0
9B-03,9B,image,108,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,683,529,0.00236801,charged,8198,0
9B-04,9B,image,82,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,684,720,0.00248276,charged,11038,0
9B-05,9B,image,50,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,672,791,0.00252356,charged,14012,0
9B-06,9B,image,66,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,698,1394,0.00288926,charged,17110,0
9B-07,9B,image,106,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,708,578,0.002453,charged,12519,0
9B-08,9B,image,46,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,594,387,0.00226946,charged,9507,0
9B-09,9B,image,128,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,781,834,0.00261755,charged,11824,0
9B-10,9B,image,139,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,714,561,0.0024437,charged,8876,0
9B-11,9B,image,82,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,705,1337,0.00285611,charged,15314,0
9B-12,9B,image,55,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,685,831,0.00260135,charged,12544,0
9B-13,9B,image,83,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,678,467,0.00233006,charged,9607,0
9B-14,9B,image,84,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,699,519,0.00236441,charged,8901,0
9B-15,9B,image,77,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,625,201,0.00216251,charged,6909,0
9B-16,9B,image,65,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,634,781,0.00251186,charged,12606,0
9B-17,9B,image,73,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,661,967,0.00262751,charged,13135,0
9B-18,9B,image,57,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,697,1017,0.00262835,charged,12298,0
9B-19,9B,image,108,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,706,709,0.0025313,charged,10696,0
9B-20,9B,image,90,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,706,997,0.00265226,charged,14030,0
9B-21,9B,image,62,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,630,459,0.00231806,charged,9786,0
9B-22,9B,image,53,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,627,1181,0.00273353,charged,14180,0
9B-23,9B,image,134,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,769,2474,0.00359975,charged,22304,0
9B-24,9B,image,143,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,748,1155,0.00275336,charged,12846,0
9B-25,9B,image,60,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,613,490,0.00233411,charged,8689,0
9B-26,9B,image,69,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,620,483,0.00233096,charged,9856,0
9B-27,9B,image,70,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,657,461,0.00232331,charged,8330,0
9B-28,9B,image,148,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,735,1224,0.00279281,charged,14952,0
9B-29,9B,image,55,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,612,496,0.00233756,charged,8076,0
9C-01,9C,image,69,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,642,448,0.00231326,charged,8027,0
9C-02,9C,image,48,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,589,333,0.00223631,charged,5839,0
9C-03,9C,image,124,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,691,804,0.00249965,charged,11216,0
9C-04,9C,image,47,True,1,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,596,675,0.00244256,charged,10344,0
9C-05,9C,image,46,True,0,openrouter:deepseek/deepseek-v4.1-flash,DeepInfra,611,496,0.0022243304,charged,8550,0
9C-06,9C,image,56,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,596,706,0.00246116,charged,10110,0
9C-07,9C,image,75,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,622,546,0.00235178,charged,10164,0
9C-08,9C,image,106,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,2422,1552,0.00524266,charged,22758,1
9C-09,9C,image,86,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,644,330,0.00224276,charged,7171,0
9C-10,9C,image,74,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,625,462,0.00231911,charged,8310,0
9C-11,9C,image,21,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,2075,1266,0.00484621,charged,18101,1
9C-12,9C,image,91,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,641,558,0.00237911,charged,9614,0
9C-13,9C,image,59,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,611,376,0.00226541,charged,6752,0
9C-14,9C,image,120,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,705,1136,0.00273551,charged,14386,0
9C-15,9C,image,34,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,1862,1050,0.00480562,charged,17807,1
9C-16,9C,image,68,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,625,452,0.00231311,charged,9324,0
9C-17,9C,image,53,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,580,296,0.00221276,charged,6995,0
9C-18,9C,image,67,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,623,924,0.00259601,charged,12535,0
9C-19,9C,image,52,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,592,853,0.00254876,charged,12262,0
9C-20,9C,image,75,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,630,899,0.00258206,charged,11679,0
9D-01,9D,image,21,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,1495,522,0.00443377,charged,13009,1
9D-02,9D,image,34,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,1833,1111,0.00483787,charged,16202,1
9D-03,9D,image,119,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,725,631,0.00243551,charged,11429,0
9D-04,9D,image,45,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,580,382,0.00226436,charged,7129,0
9D-05,9D,image,82,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,656,1196,0.00276416,charged,16037,0
9D-06,9D,image,116,True,1,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,712,1056,0.00268856,charged,13567,0
9D-07,9D,image,86,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,654,678,0.00245306,charged,9310,0
9D-08,9D,image,30,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,1559,555,0.00446317,charged,13180,1
9D-09,9D,image,111,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,677,600,0.00240971,charged,10990,0
9D-10,9D,image,27,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,1708,814,0.00457180,charged,14221,1
9D-11,9D,image,42,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,590,323,0.00223046,charged,7952,0
9D-12,9D,image,49,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,596,751,0.00254,charged,9381,0
9D-13,9D,image,36,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,1485,512,0.00442627,charged,12968,1
9D-14,9D,image,97,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,675,728,0.00248621,charged,11619,0
9D-15,9D,image,89,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,660,650,0.00243716,charged,12133,0
9D-16,9D,image,88,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,696,1064,0.0027428,charged,14632,0
9D-17,9D,image,75,True,0,openrouter:deepseek/deepseek-v4.1-flash,Alibaba,633,623,0.00246875,charged,10963,0
